## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 spades - /in/data/genome_assembly.fasta
## taxonomy	: no taxonomy information found
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	spades	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_1520_length_12624_cov_64.953614	12624	0.4233	0	64.9536	N/A	N/A	N/A
NODE_1528_length_12594_cov_61.901015	12594	0.3776	0	61.901	N/A	N/A	N/A
NODE_1558_length_12480_cov_72.528340	12480	0.4433	0	72.5283	N/A	N/A	N/A
NODE_1564_length_12445_cov_89.500970	12445	0.4313	0	89.501	N/A	N/A	N/A
NODE_1616_length_12292_cov_63.443062	12292	0.4147	0	63.4431	N/A	N/A	N/A
NODE_1622_length_12253_cov_75.026445	12253	0.4389	0	75.0264	N/A	N/A	N/A
NODE_1642_length_12185_cov_63.017839	12185	0.4268	0	63.0178	N/A	N/A	N/A
NODE_1649_length_12165_cov_64.116562	12165	0.409	0	64.1166	N/A	N/A	N/A
NODE_1652_length_12161_cov_107.845002	12161	0.4195	0	107.845	N/A	N/A	N/A
NODE_1666_length_12129_cov_101.270577	12129	0.4142	0	101.2706	N/A	N/A	N/A
NODE_1685_length_12080_cov_63.733317	12080	0.4077	0	63.7333	N/A	N/A	N/A
NODE_1686_length_12077_cov_77.014833	12077	0.4228	0	77.0148	N/A	N/A	N/A
NODE_1690_length_12070_cov_65.443842	12070	0.3949	0	65.4438	N/A	N/A	N/A
NODE_1699_length_12043_cov_74.583988	12043	0.4199	0	74.584	N/A	N/A	N/A
NODE_1702_length_12026_cov_82.468742	12026	0.4061	0	82.4687	N/A	N/A	N/A
NODE_1732_length_11961_cov_76.814372	11961	0.4197	0	76.8144	N/A	N/A	N/A
NODE_1758_length_11885_cov_69.330369	11885	0.4211	0	69.3304	N/A	N/A	N/A
NODE_1792_length_11816_cov_87.211006	11816	0.4163	0	87.211	N/A	N/A	N/A
NODE_1793_length_11807_cov_77.146547	11807	0.444	0	77.1465	N/A	N/A	N/A
NODE_1815_length_11767_cov_70.909153	11767	0.4123	0	70.9092	N/A	N/A	N/A
NODE_1854_length_11693_cov_69.247590	11693	0.4286	0	69.2476	N/A	N/A	N/A
NODE_1894_length_11597_cov_66.954774	11597	0.4334	0	66.9548	N/A	N/A	N/A
NODE_1900_length_11586_cov_62.447041	11586	0.4033	0	62.447	N/A	N/A	N/A
NODE_1928_length_11538_cov_73.711543	11538	0.4067	0	73.7115	N/A	N/A	N/A
NODE_1954_length_11483_cov_73.369016	11483	0.4142	0	73.369	N/A	N/A	N/A
NODE_1972_length_11455_cov_62.253472	11455	0.4161	0	62.2535	N/A	N/A	N/A
NODE_1990_length_11408_cov_72.369959	11408	0.4155	0	72.37	N/A	N/A	N/A
NODE_2015_length_11347_cov_54.160248	11347	0.4223	0	54.1602	N/A	N/A	N/A
NODE_2055_length_11285_cov_73.690757	11285	0.4346	0	73.6908	N/A	N/A	N/A
NODE_2075_length_11251_cov_65.751029	11251	0.482	0	65.751	N/A	N/A	N/A
NODE_2091_length_11219_cov_71.674295	11219	0.4037	0	71.6743	N/A	N/A	N/A
NODE_2097_length_11212_cov_67.472295	11212	0.4233	0	67.4723	N/A	N/A	N/A
NODE_2115_length_11181_cov_71.955421	11181	0.4183	0	71.9554	N/A	N/A	N/A
NODE_2137_length_11145_cov_78.561077	11145	0.3824	0	78.5611	N/A	N/A	N/A
NODE_2139_length_11137_cov_66.216094	11137	0.4344	0	66.2161	N/A	N/A	N/A
NODE_2159_length_11093_cov_66.138344	11093	0.404	0	66.1383	N/A	N/A	N/A
NODE_2191_length_11040_cov_90.676640	11040	0.4295	0	90.6766	N/A	N/A	N/A
NODE_2220_length_10992_cov_70.110124	10992	0.4201	0	70.1101	N/A	N/A	N/A
NODE_2236_length_10965_cov_67.100202	10965	0.4055	0	67.1002	N/A	N/A	N/A
NODE_2377_length_10765_cov_65.307728	10765	0.4439	0	65.3077	N/A	N/A	N/A
NODE_2429_length_10675_cov_72.007077	10675	0.431	0	72.0071	N/A	N/A	N/A
NODE_2445_length_10644_cov_70.869689	10644	0.4204	0	70.8697	N/A	N/A	N/A
NODE_2509_length_10537_cov_70.161759	10537	0.4429	0	70.1618	N/A	N/A	N/A
NODE_2510_length_10537_cov_67.191300	10537	0.3991	10	67.1913	N/A	N/A	N/A
NODE_2540_length_10492_cov_57.686798	10492	0.4113	0	57.6868	N/A	N/A	N/A
NODE_2568_length_10454_cov_60.973885	10454	0.4045	0	60.9739	N/A	N/A	N/A
NODE_2607_length_10407_cov_72.120136	10407	0.4263	0	72.1201	N/A	N/A	N/A
NODE_2610_length_10403_cov_72.194461	10403	0.3988	0	72.1945	N/A	N/A	N/A
NODE_2621_length_10386_cov_67.072364	10386	0.4376	0	67.0724	N/A	N/A	N/A
NODE_2638_length_10363_cov_137.921738	10363	0.4387	0	137.9217	N/A	N/A	N/A
NODE_2641_length_10359_cov_66.264443	10359	0.4152	0	66.2644	N/A	N/A	N/A
NODE_2656_length_10335_cov_67.303763	10335	0.4224	0	67.3038	N/A	N/A	N/A
NODE_2674_length_10311_cov_68.331835	10311	0.4095	0	68.3318	N/A	N/A	N/A
NODE_2717_length_10245_cov_70.895653	10245	0.3939	0	70.8957	N/A	N/A	N/A
NODE_2761_length_10181_cov_67.643508	10181	0.4131	0	67.6435	N/A	N/A	N/A
NODE_2845_length_10096_cov_83.006987	10096	0.4209	0	83.007	N/A	N/A	N/A
NODE_2915_length_10028_cov_54.086022	10028	0.4171	0	54.086	N/A	N/A	N/A
NODE_2916_length_10027_cov_129.492563	10027	0.4184	0	129.4926	N/A	N/A	N/A
NODE_2919_length_10024_cov_77.689555	10024	0.391	0	77.6896	N/A	N/A	N/A
NODE_3072_length_9842_cov_64.244547	9842	0.4009	0	64.2445	N/A	N/A	N/A
NODE_3080_length_9825_cov_121.831453	9825	0.4173	0	121.8315	N/A	N/A	N/A
NODE_3122_length_9775_cov_67.414725	9775	0.4074	0	67.4147	N/A	N/A	N/A
NODE_3196_length_9699_cov_67.685512	9699	0.4159	0	67.6855	N/A	N/A	N/A
NODE_3228_length_9666_cov_80.133799	9666	0.4078	0	80.1338	N/A	N/A	N/A
NODE_3255_length_9641_cov_68.761292	9641	0.4421	0	68.7613	N/A	N/A	N/A
NODE_3375_length_9541_cov_62.134404	9541	0.4489	0	62.1344	N/A	N/A	N/A
NODE_3404_length_9517_cov_69.350953	9517	0.441	0	69.351	N/A	N/A	N/A
NODE_3421_length_9499_cov_66.258119	9499	0.4322	0	66.2581	N/A	N/A	N/A
NODE_3476_length_9445_cov_59.097459	9445	0.4087	0	59.0975	N/A	N/A	N/A
NODE_3552_length_9381_cov_70.792240	9381	0.4465	0	70.7922	N/A	N/A	N/A
NODE_3563_length_9374_cov_73.069915	9374	0.4219	0	73.0699	N/A	N/A	N/A
NODE_3574_length_9366_cov_66.450318	9366	0.4064	0	66.4503	N/A	N/A	N/A
NODE_3618_length_9322_cov_68.531422	9322	0.425	0	68.5314	N/A	N/A	N/A
NODE_3629_length_9309_cov_57.572140	9309	0.4286	0	57.5721	N/A	N/A	N/A
NODE_3759_length_9205_cov_127.917068	9205	0.4161	0	127.9171	N/A	N/A	N/A
NODE_3778_length_9191_cov_67.336515	9191	0.4235	0	67.3365	N/A	N/A	N/A
NODE_3797_length_9181_cov_61.924868	9181	0.3963	0	61.9249	N/A	N/A	N/A
NODE_3810_length_9172_cov_65.395492	9172	0.4035	0	65.3955	N/A	N/A	N/A
NODE_3811_length_9171_cov_73.605784	9171	0.4519	0	73.6058	N/A	N/A	N/A
NODE_3955_length_9039_cov_67.577884	9039	0.4228	0	67.5779	N/A	N/A	N/A
NODE_3987_length_9016_cov_77.228437	9016	0.4238	0	77.2284	N/A	N/A	N/A
NODE_4156_length_8890_cov_67.041870	8890	0.408	0	67.0419	N/A	N/A	N/A
NODE_4287_length_8806_cov_90.338069	8806	0.4383	0	90.3381	N/A	N/A	N/A
NODE_4394_length_8726_cov_65.916753	8726	0.4034	0	65.9168	N/A	N/A	N/A
